rating,comment
5,Looks ok. Not like so durable. Will hv to use a while to recommend others of its worth.
5,"Tried, the current can be very powerful depending on the setting, i don't dare to go higher but if go higher sure muscle will become sore and can see the effect faster."
5,"Item received after a week. Looks smaller than expected, can’t wait to try!"
5,Thanks!!! Works as describe no complaints. Not really expecting any life changing results but thanks!
5,Fast delivery considering it’s from overseas and only tried once. Not sure about the results yet.
5,Fast delivery good service 
5,Got my order and it came well packaged. Have yet to try but looks good so far. Thanks! 
5,"Items received in a nice box. Have not used it yet, hopefully it works!"
5,"Received in good condition, tried so far so good. Not that bad. "
1,"Item doesn’t work . 

Asked me to send a refund , show a non working machine and deem not enough evidence . 

Don’t waste time buying . "
5,Fast. Great
3,Items received... all items looks very small compared to pictures in the ad listing. 😰
3,"Do not like the fit so much, very different material as compared to other design in the same brand "
3,Came quite fast. Havent tried yet. 
3,Received item yesterday.. tested the device and it is working great.. just that it’s a bit flimsy.. 
3,"Product is great. However, delivery man left at the door without informing. "
3,Sticky pads not sticky after just one use. Electronics works just fine.
4,"Fast delivery, however the product casing was slightly dented. "
5,"Fast delivery, prompt response. The material is good. Exactly like the photo. "
5,"Product received was exactly the the same as photos! Impressed with the quality as well, texture isn’t sticky as with some rubber products. definitely a good buy!!! "
5,the bands were individually wrapped and came with a waterprood bag and guide pamplet as well.
5,Can really feel it. Treating it as a massage device. Cant help you slim down without excercise. The chip can be better improved.
5,Product is okay havent tried but hope its ok
5,Great deal and delivery is fast ... response from seller is fast as well... will recommend to other buyers. 
4,"The left and right is not having vibration. Only middle part is working.

The arm band stimulation also not having uniform distribution "
4,Speedy delivery; minor cracks on the foam portion
4,"Product received earlier than anticipated, the shopee status was indicating in transit. Size a lot different than expected.  Box was crushed on arrival. Have yet to try out but hope it works.The arm strips looks very small and short. Seller is responsive. One of the unit not working. "
4,"Shipment took longer than expected. But it is becos of the covid19 situation, so i can undrrstand."
4,Received in time. Seems to work ok however cannot feel any pulse from the additional wrap around sections that are attached to the main abdominal pad section. Aside from that works as described. 
4,"Fast delivery. For the price it is, this is pretty good. Tried and works well except the gel on the pads tend to be very difficult to peel off when u want to reuse it."
4,Strong vibrations ! It made my arms twitch . Will use for a while and update . Adhesive quite sticky 
4,"Looks cute & all but back part rides up like some others said, although sizing was right."
4,"Fast delivery
Received as what shown.. but the bra site doesnt fit well on me.. maybe I don’t have big boobs😂"
4,"Quite thick, feels like swimwear "
4,"Tank top came with removable bra padding, it was on the thicker side and weights a little so I swapped it out. Other than being a low - medium intensity bra tank, this too could easily be a lounge wear/ basic top. "
4,Material is comfortable. True to size. Will repurchase when there’s a sale again.
4,Looks nice but straps were a bit too short. Not very comfortable 
4,Packed individually- as described. Feel the quality is adequate to pricing. Hope it’ll last..
4,"Fast delivery, abt 3 days received after place order. Buy for daughter, she tried, say it good to relax muscle. "
4,Pdt feels sandy/ dirty after unwrapping 
1,Bought the red and yellow one. Resistance is soso but band will ride up and twist by itself when you’re exercising. Will not recommend. 
1,"Bad quality 
Quite thin
Not what I expected 
Request for cancel order they refused to
Then wasted my money "
1,"Delivery took 3 days
Bought during flash sales, value for money
item came defective
Informed seller, seller willing to exchange a new one if I shipped back item
But shoppee only has option to return/refund; no option to exchange; which means I wasted time on this
Can SHOPPE address the problem????"
1,"Product quality is good, seller is responsive but i Resistance is too tight for me feels like 50 kg"
1,"No anti slip, i kept slipping.material also too hard and it might hurt posture quite painful on my head when i lie down"
1,"Item receive, use once and it broke. Not good for cardio exercise, slippery and when you exercise sound of the yoga mat is awful slide as 
well"
1,this mat is light weigh so does not stay flat on the floor - can slip when doing exercise as the mat may move. please buy mat which is a bit heavy and stays flat on the floor
1,Bad experience for me. Ordered quite abit but delivered 2jigs less. Also mixed up my colors n choice of jigweight pretty bad. I was informed only 3jigs color out of stock but ended up much more than that. Partial refund submitted plenty inconvenience there.
1,"I rarely give a rating below 5 stars. Yes even though this dumbbell is cheaper than others on shopee, but it was spoilt when it came. (picture shows it) Seller is super unresponsive. All i can say is buy at your own risk!"
1,"I ordered red, it comes blue.
The chosen colour is red. 
I checked with vendor since 18 Jun, not a single reply at all. 
Very deeply disappointed and upset with the vendor, this small be my last purchase with the vendor! 
Poor customer service. "
4,Received in good condition. Fast delivery.
4,Good as described and fits well. Would recommend.
4,The pad doesn't feel like gel material
